Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,0.7,2.4,163.3,80,576,,
2,3.3,11.0,150.4,103,654,24,
3,5.3,18.3,150.4,103,654,24,
4,8.4,30.7,127.5,169,881,23,
5,11.0,40.7,127.5,169,881,23,
6,14.1,53.4,123.2,187,944,22,
7,16.6,63.8,123.2,187,944,22,
8,19.2,74.4,122.9,189,948,22,
9,21.8,85.0,119.9,203,998,22,
10,24.9,98.1,121.0,198,979,22,
11,27.5,109.0,119.0,208,1014,23,
12,30.0,119.7,119.5,205,1005,23,
13,32.6,130.4,119.5,205,1005,23,
14,35.2,141.2,118.6,210,1022,22,
15,38.2,154.5,118.3,211,1027,23,
16,40.8,165.1,118.3,211,1027,23,
17,43.4,175.7,120.0,203,997,22,
18,46.5,188.9,119.3,206,1009,22,
19,49.0,199.6,119.3,206,1009,22,
20,51.6,210.2,119.2,207,1011,22,
21,54.7,223.3,120.1,202,995,22,
22,57.2,234.1,120.1,202,995,22,
23,59.8,244.6,119.2,207,1011,22,
24,62.9,257.8,119.6,205,1004,22,
25,65.5,268.6,118.5,210,1023,22,
26,68.0,279.3,118.5,210,1023,22,
27,70.6,290.0,119.4,206,1007,23,
28,73.1,300.6,120.6,200,986,22,
29,76.2,313.7,119.5,205,1005,22,
30,78.8,324.4,119.5,205,1005,22,
31,81.4,335.2,120.2,202,993,22,
32,83.9,345.8,119.9,203,998,23,
33,87.0,358.8,121.2,197,976,22,
34,89.6,369.3,121.2,197,976,22,
35,92.2,379.8,121.0,198,979,22,
36,95.2,392.7,121.2,197,976,22,
37,97.8,403.4,121.2,197,976,22,
38,100.4,413.9,120.7,199,985,22,
39,102.9,424.5,120.7,199,985,22,
40,106.1,437.7,120.3,201,991,22,
41,108.6,448.3,120.3,201,991,22,
42,111.2,459.0,120.3,201,991,22,
43,113.8,469.5,120.0,203,997,22,
44,116.8,482.5,121.3,196,974,22,
45,119.4,492.9,121.3,196,974,22,
46,121.9,503.4,121.4,196,973,22,
47,125.0,516.3,120.7,199,985,23,
48,127.6,526.9,120.7,199,985,23,
49,130.2,537.5,121.3,196,974,22,
50,132.7,548.2,121.7,194,968,22,
